uyler,Reading (Town),JCT RTS 14 + 14A,14A 14A63011000 14  14 63021105,NYSDOT,2013,09/08/2015,N,6.94
uyler,Reading (Town),0.2 MI E JCT RTS 14 + 226,14A 14A63031002 ROCK STREAM,NYSDOT,1926,04/13/2016,SD,3.41
uyler,Reading (Town),2.6 MI NE OF ALTAY,COUNTY ROAD 27 ROCK STREAM,30 - County,2003,04/12/2017,N,6.56
uyler,Reading (Town),2.7 MI NW OF WATKINS GLEN,COUNTY ROAD 28 BIG HOLLOW RUN,30 - County,1978,04/12/2017,N,6.00
uyler,Tyrone (Town),0.8 MI SW OF TYRONE,226 226 63021038 HOWELL CREEK,NYSDOT,1975,08/27/2015,SD,4.60
uyler,Tyrone (Town),NW END OF TYRONE,226 226 63021047 TOBEHANNA CREEK,NYSDOT,2012,07/11/2016,N,6.81
uyler,Tyrone (Town),SW END OF ALTAY,226 226 63021073 TOBEHANNA CREEK,NYSDOT,1973,07/11/2016,N,4.62
uyler,Tyrone (Town),2.4 MI E JCT RTE 54 & 230,230 230 63021005 INLET WANETA LAKE,NYSDOT,1992,07/25/2017,N,5.00
uyler,Tyrone (Town),.3 MI N JCT SH226 & CR23A,COUNTY ROAD 23A TOBEHANNA CREEK,30 - County,2002,04/04/2017,N,7.00
uyler,Tyrone (Town),0.6 MI SW OF TYRONE,LAMOKA LAKE ROAD TOBEHANNA CREEK,30 - County,1991,06/16/2016,N,5.69
uyler,Watkins Glen (Village),IN WATKINS GLEN,14  14 63021068 GLEN CREEK,NYSDOT,1988,05/18/2016,N,5.97
uyler,Watkins Glen (Village),1.4 MI E JCT RTS 14 + 414,414 414 63031095 SENECA CANAL,NYSDOT,1964,08/03/2017,SD,4.73
uyler,Watkins Glen (Village),1.9 MI E JCT RTS 14 + 414,414 414 63031099 SENECA LAKE INLET,NYSDOT,1940,07/11/2016,N,6.51
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Schuyler County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty Municipality,Location,,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
uyler Watkins Glen (Village),015MI.N.E.OFINT.RT.14P329,,DECATUR STREET GLEN CREEK,41 - Village,1986,06/06/2016,N,6.07
"rrent as of October 31, 2017",,,,,,,,
rally Deficient (SD)/Functionally Obsolete (FO) info is current as of,,,,,,,,
Status,,,,,,,,
"= Structurally Deficient",,,,,,,,
"= Functionally Obsolete",,,,,,,,
Neither SD/FO,,,,,,,,
k = No data available,,,,,,,,
tems,,,,,,,,
k = Data not available,,,,,,,,
ondition Rating,,,,,,,,
"se refer to the narrative, FAQs and the 'Key to New York State Highway Bridge Data' for additional",,,,,,,,
on.,,,,,,,,
