York,New York (City),3 MI NE ROUTE 9A+79 ST,907V907VX4MR03C1 W 135 ST,NYSDOT,1939,01/29/2016,FO,4.58
York,New York (City),4 MI NE ROUTE 9A+79 ST,907V907VX4MR04B1 AMTRAK-W SIDE CON,42 - City,1939,12/02/2016,SD,4.49
York,New York (City),4.7 MI NE ROUTE 9A+79 ST,907V907VX4MR05F1 907V907VX4M11120,NYSDOT,1939,02/01/2016,FO,5.00
York,New York (City),4.6 MI NE ROUTE 9A+79 ST,907V907VX4MR05G1 907V907VX4M12118,NYSDOT,1958,11/19/2016,FO,5.18
York,New York (City),6.4 MI NE JCT SH9A&79THST,907V907VX4MR06D1 RELIEF,NYSDOT,1939,01/12/2016,N,4.63
York,New York (City),I95 OVER HUDSON RIVER,95I X (RampLx1) HHP & RIVERSIDE,2W - Port Authority of NY,1962,10/16/2015,FO,3.92
"",,,,and NJ,,,,
York,New York (City),IN HARLEM,A.C.POWEL BLVD NB A.C.POWEL BLVD,42 - City,1940,01/28/2016,FO,4.35
York,New York (City),0.35MI E OF 95I & US 9,AMSTERDAM AVENUE 95IX,2W - Port Authority of NY,1959,08/01/2017,FO,3.94
"",,,,and NJ,,,,
York,New York (City),0.25MI E OF 95I & US 9,AUDUBON AVENUE 95IX,2W - Port Authority of NY,1959,07/15/2017,FO,4.19
"",,,,and NJ,,,,
York,New York (City),3.7 MI NE FDR DR&BKLYN BR,AVE C TO FDR SB TERRAIN,NYSDOT,1997,01/21/2016,N,5.60
York,New York (City),US 9 OVER 95I,BROADWAY 95I 95I04011008,2W - Port Authority of NY,1960,07/06/2017,FO,4.25
"",,,,and NJ,,,,
York,New York (City),BROOKLYN BR OVER EAST RVR,BROOKLYN BRIDGE I278 BKN-QNS EXP,42 - City,1883,11/17/2016,SD,4.71
York,New York (City),IN WEST MANHATTAN,BUS RAMP E92 BUS RAMP E96,2W - Port Authority of NY,1961,07/26/2017,FO,5.67
"",,,,and NJ,,,,
York,New York (City),IN WEST MANHATTAN,BUS RAMP E96 BUS RAMP W95,2W - Port Authority of NY,1961,07/26/2017,FO,5.48
"",,,,and NJ,,,,
York,New York (City),IN WEST MANHATTAN,BUS RAMP E96 DYER AVE,2W - Port Authority of NY,1961,06/30/2017,FO,5.61
"",,,,and NJ,,,,
York,New York (City),IN WEST MANHATTAN,BUS RAMP R97 9TH AVE,2W - Port Authority of NY,1950,08/10/2017,FO,5.44
"",,,,and NJ,,,,
York,New York (City),IN WEST MANHATTAN,BUS RAMP W95 BUS RAMPS R97/R98,2W - Port Authority of NY,1961,07/28/2017,FO,6.15
"",,,,and NJ,,,,
York,New York (City),BT RAMP W99 AT LINCOLN TU,BUS RAMP W99 DYER AVENUE,2W - Port Authority of NY,1950,08/10/2015,FO,4.27
"",,,,and NJ,,,,
York,New York (City),"BT RAMP R97,R98,E96",BUS RAMPS B97&R98 BUS RAMP W95,2W - Port Authority of NY,1950,08/11/2017,FO,5.32
"",,,,and NJ,,,,
York,New York (City),IN WEST MANHATTAN,BUS RAMPS E92&W95 BUS RAMP E96,2W - Port Authority of NY,1961,08/17/2017,FO,4.68
"",,,,and NJ,,,,
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,New York County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
